Title,Type,Series,Publisher,Year,ISSN,ISBN,DOI,Affiliation
The Noninflammatory Phenotype of Neutrophils From the Closed-Eye Environment: A Flow Cytometry Analysis of Receptor Expression,journal-article,Investigative Opthalmology & Visual Science,Association for Research in Vision and Ophthalmology (ARVO),2015,1552-5783,,https://doi.org/10.1167/iovs.14-15750,"Systems Design Engineering University of Waterloo, Waterloo, Ontario, Canada 2School of Optometry and Vision Science, University of Waterloo, Waterloo, Ontario, Canada"
The effect of core training on distal limb performance during ballistic strike manoeuvres,journal-article,Journal of Sports Sciences,Informa UK Limited,2016,0264-0414,,https://doi.org/10.1080/02640414.2016.1236207,"Spine Biomechanics Laboratory, Department of Kinesiology, Faculty of Kinesiology, University of Waterloo, Waterloo, ON, Canada"
Autophagy is altered in skeletal and cardiac muscle of spontaneously hypertensive rats,journal-article,Acta Physiologica,Wiley,2013,1748-1708,,https://doi.org/10.1111/apha.12178,Department of Kinesiology; University of Waterloo; Waterloo ON Canada
"Occurrence and degree of intersex (testis-ova) in darters (EtheostomaSPP.) across an urban gradient in the Grand River, Ontario, Canada",journal-article,Environmental Toxicology and Chemistry,Wiley,2013,0730-7268,,https://doi.org/10.1002/etc.2262,Department of Biology; University of Waterloo; Waterloo; Ontario; Canada
Climate Impacts on Hydrological Variables in the Mackenzie River Basin,journal-article,Canadian Water Resources Journal / Revue canadienne des ressources hydriques,Informa UK Limited,2012,0701-1784,,https://doi.org/10.4296/cwrj2011-899,"a  Department of Civil and Environmental Engineering, University of Waterloo, 200 University Avenue West, Waterloo, ON N2L 3G1."
The United States and Bahrain: Interpreting the Differentiated U.S. Responses to the Arab Spring,journal-article,Digest of Middle East Studies,Wiley,2014,1060-4367,,https://doi.org/10.1111/dome.12053,University of Waterloo
Development of an Adult Physiologically Based Pharmacokinetic Model of Solithromycin in Plasma and Epithelial Lining Fluid,journal-article,CPT: Pharmacometrics & Systems Pharmacology,Wiley,2017,2163-8306,,https://doi.org/10.1002/psp4.12252,School of Pharmacy; University of Waterloo; Kitchener Ontario Canada
"Canada, human rights, and the future of the liberal international order",journal-article,International Journal: Canada's Journal of Global Policy Analysis,SAGE Publications,2018,0020-7020,,https://doi.org/10.1177/0020702018788550,"Centre for International Governance Innovation and the Balsillie School of International Affairs, University of Waterloo, Waterloo, Ontario, Canada"
Using Multitemporal and Multispectral Airborne Lidar to Assess Depth of Peat Loss and Correspondence With a New Active Normalized Burn Ratio for Wildfires,journal-article,Geophysical Research Letters,American Geophysical Union (AGU),2017,0094-8276,,https://doi.org/10.1002/2017gl075488,Department of Geography and Environmental Management; University of Waterloo; Waterloo Ontario Canada
Time domain analysis of oxygen uptake during pseudorandom binary sequence exercise tests,journal-article,Journal of Applied Physiology,American Physiological Society,2017,8750-7587,,https://doi.org/10.1152/jappl.1991.71.4.1620,"Department of Kinesiology, University of Waterloo, Ontario, Canada."
The role of unregulated care providers in managing heart failure patients in long-term care facilities,journal-article,Journal of Clinical Nursing,Wiley,2016,0962-1067,,https://doi.org/10.1111/jocn.13413,Schlegel - University of Waterloo -Research Institute for Aging; University of Waterloo; Waterloo ON Canada
Transport Properties of Asymmetric Hollow Fiber Membrane Permeators for Practical Applications: Mathematical Modelling for Binary Gas Mixtures,journal-article,The Canadian Journal of Chemical Engineering,Wiley,2015,0008-4034,,https://doi.org/10.1002/cjce.22215,"Department of Chemical Engineering; University of Waterloo; Waterloo, ON N2L 3G1 Canada"
Generalized Hasse-Schmidt varieties and their jet spaces,journal-article,Proceedings of the London Mathematical Society,Oxford University Press (OUP),2011,0024-6115,,https://doi.org/10.1112/plms/pdq055,Department of Pure Mathematics; University of Waterloo; 200 University Avenue West Waterloo ON N2L 3G1 Canada
Superconducting Resonators Based on TiN/Tapering/NbN/Tapering/TiN Heterostructures ,journal-article,Advanced Engineering Materials,Wiley,2016,1438-1656,,https://doi.org/10.1002/adem.201600226,"Department of Electrical and Computer Engineering; University of Waterloo; Waterloo ON, Canada N2L 3G1"
Superconducting Resonators Based on TiN/Tapering/NbN/Tapering/TiN Heterostructures ,journal-article,Advanced Engineering Materials,Wiley,2016,1438-1656,,https://doi.org/10.1002/adem.201600226,"Institute for Quantum Computing; University of Waterloo; Waterloo ON, Canada N2L 3G1"
URISC: The Ultimate Reduced Instruction Set Computer,journal-article,International Journal of Electrical Engineering Education,SAGE Publications,2015,0020-7209,,https://doi.org/10.1177/002072098802500408,"Department of Computer Science, University of Waterloo, Canada"
Automatic Shear Wave Velocity Estimation in Bender Element Testing,journal-article,Geotechnical Testing Journal,ASTM International,2016,0149-6115,,https://doi.org/10.1520/gtj20140197,"Department of Civil and Environmental Engineering, University of Waterloo, Waterloo, ON, N2E 3L1, CA."
Determination of meloxicam in plasma samples using a highly selective and sensitive voltammetric sensor based on carbon paste electrodes modified by molecularly imprinted polymer nanoparticle–multiwall carbon nanotubes,journal-article,Analytical Methods,Royal Society of Chemistry (RSC),2015,1759-9660,,https://doi.org/10.1039/c4ay02034k,University of Waterloo
The internal migration-development nexus: Evidence from southern India,journal-article,Asian and Pacific Migration Journal,SAGE Publications,2017,0117-1968,,https://doi.org/10.1177/0117196816684349,University of Waterloo
Improved Synthesis of Hydrogen Networks for Refineries,journal-article,Industrial & Engineering Chemistry Research,American Chemical Society (ACS),2014,0888-5885,,https://doi.org/10.1021/ie5005042,"ChemicalEngineering Department, University of Waterloo, Waterloo, Ontario, Canada N2L 3G1"
Assessing the food web impacts of an anadromous Arctic charr introduction to a sub-Arctic watershed using stable isotopes,journal-article,Fisheries Management and Ecology,Wiley,2013,0969-997X,,https://doi.org/10.1111/fme.12012,Department of Biology; University of Waterloo; Waterloo; ON; Canada
Water conflict and cooperation in Southern Africa,journal-article,Wiley Interdisciplinary Reviews: Water,Wiley,2015,2049-1948,,https://doi.org/10.1002/wat2.1070,"School of Environment, Enterprise and Development; University of Waterloo; Waterloo Canada"
Use of control interventions in adult in-patient mental health services,journal-article,Healthcare Management Forum,SAGE Publications,2015,0840-4704,,https://doi.org/10.1177/0840470415581230,"School of Public Health and Health Systems, University of Waterloo, Waterloo, Ontario, Canada."
Set-valued dynamic treatment regimes for competing outcomes,journal-article,Biometrics,Wiley,2014,0006-341X,,https://doi.org/10.1111/biom.12132,"Department of Computer Science; University of Waterloo; Ontario, Canada N2L 3G1"
"Differential rutting in Canterbury New Zealand, and its relation to road camber",journal-article,International Journal of Pavement Engineering,Informa UK Limited,2016,1029-8436,,https://doi.org/10.1080/10298436.2016.1208198,"Department of Civil and Environmental Engineering, University of Waterloo , Waterloo, Canada"
"Structured Mathematical Modeling, Bifurcation, and Simulation for the Bioethanol Fermentation Process Using Zymomonas mobilis",journal-article,Industrial & Engineering Chemistry Research,American Chemical Society (ACS),2014,0888-5885,,https://doi.org/10.1021/ie402361b,"Department of Chemical Engineering, University of Waterloo, Waterloo, Ontario  N2L3G1, Canada"
Burst Detection in Social Media Streams for Tracking Interest Profiles in Real Time,proceedings-article,Proceedings of the 39th International ACM SIGIR conference on Research and Development in Information Retrieval - SIGIR '16,ACM Press,2016,,9781450340694,https://doi.org/10.1145/2911451.2914733,"University of Waterloo, Waterloo, ON, Canada"
Data Profiling,proceedings-article,Proceedings of the 2017 ACM International Conference on Management of Data  - SIGMOD '17,ACM Press,2017,,9781450341974,https://doi.org/10.1145/3035918.3054772,"University of Waterloo, Waterloo, ON, Canada"
Cr3+ Binding to DNA Backbone Phosphate and Bases: Slow Ligand Exchange Rates and Metal Hydrolysis,journal-article,Inorganic Chemistry,American Chemical Society (ACS),2016,0020-1669,,https://doi.org/10.1021/acs.inorgchem.6b01357,"Department of Chemistry,Waterloo Institute for Nanotechnology, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada"
"Neural, Optical, and Search Performance in Prolonged Viewing of Chromatic Displays",journal-article,Human Factors: The Journal of the Human Factors and Ergonomics Society,SAGE Publications,2017,0018-7208,,https://doi.org/10.1177/001872088903100303,University of Waterloo
Nighttime nitric oxide densities in the Southern Hemisphere mesosphere-lower thermosphere,journal-article,Geophysical Research Letters,American Geophysical Union (AGU),2011,0094-8276,,https://doi.org/10.1029/2011gl048054,"Department of Chemistry; University of Waterloo; Waterloo, Ontario; Canada"
Landscape-scale habitat assessment for an imperiled avian species,journal-article,Animal Conservation,Wiley,2018,1367-9430,,https://doi.org/10.1111/acv.12382,"School of Environment, Resources and Sustainability; University of Waterloo; West Waterloo ON USA"
Tissue-specific and isoform-specific changes in MCT1 and MCT4 in heart and soleus muscle during a 1-yr period,journal-article,American Journal of Physiology-Endocrinology and Metabolism,American Physiological Society,2017,0193-1849,,https://doi.org/10.1152/ajpendo.2001.281.4.e749,"Biology, University of Waterloo, Waterloo, Ontario, N2L 3G1, Canada"
A “chemical nose” biosensor for detecting proteins in complex mixtures,journal-article,The Analyst,Royal Society of Chemistry (RSC),2016,0003-2654,,https://doi.org/10.1039/c6an00729e,University of Waterloo
What role does the ‘parent-effect’ play in child centered research? The case of photo-interviews of children’s home reading practices,journal-article,Qualitative Research,SAGE Publications,2017,1468-7941,,https://doi.org/10.1177/1468794117728410,"University of Waterloo, Canada"
Visual Attention at the Tip of the Tongue,journal-article,i-Perception,SAGE Publications,2015,2041-6695,,https://doi.org/10.1068/i0697sas,"Department of Kinesiology, University of Waterloo, Waterloo, Ontario, Canada"
The Culturally Intelligent Team,journal-article,Journal of Cross-Cultural Psychology,SAGE Publications,2013,0022-0221,,https://doi.org/10.1177/0022022113492894,"University of Waterloo, Ontario, Canada"
Detecting Water Bodies on RADARSAT Imagery,journal-article,GEOMATICA,Canadian Science Publishing,2011,1195-1036,,https://doi.org/10.5623/cig2011-005,"Department of Geography and Environmental Management, University of Waterloo, Waterloo, Ontario"
Urban Thematic Mapping by Integrating LiDAR Point Cloud with Colour Imagery,journal-article,GEOMATICA,Canadian Science Publishing,2012,1195-1036,,https://doi.org/10.5623/cig2011-060,"University of Waterloo, Waterloo, Ontario"
Report on the XXII Congress of the International Society for Photogrammetry and Remote Sensing,journal-article,GEOMATICA,Canadian Science Publishing,2013,1195-1036,,https://doi.org/10.5623/cig2013-008,University of Waterloo
Examining Urban Expansion in the Greater Toronto Area Using Landsat Imagery from 1974–2014,journal-article,GEOMATICA,Canadian Science Publishing,2015,1195-1036,,https://doi.org/10.5623/cig2015-203,"GeoSTARS Lab, Department of Geography &amp; Environmental Management, University of Waterloo, Ontario, Canada"
Examining Urban Expansion in the Greater Toronto Area Using Landsat Imagery from 1974–2014,journal-article,GEOMATICA,Canadian Science Publishing,2015,1195-1036,,https://doi.org/10.5623/cig2015-203,"GeoSTARS Lab, Department of Geography &amp; Environmental Management, University of Waterloo, Ontario, Canada"
Parametric Analysis Using a Reactor Network Model for Petroleum Coke Gasification,journal-article,Energy & Fuels,American Chemical Society (ACS),2015,0887-0624,,https://doi.org/10.1021/acs.energyfuels.5b01731,"Departmentof Chemical Engineering, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada"
Development and Design of a Single-Stage Cryogenic Modulator for Comprehensive Two-Dimensional Gas Chromatography,journal-article,Analytical Chemistry,American Chemical Society (ACS),2016,0003-2700,,https://doi.org/10.1021/acs.analchem.6b00767,"Department of Chemistry, University of Waterloo, 200 University Avenue West, Waterloo, Ontario N2L 3G1, Canada"
Calcined Dolomite: Alternative to Lime for Minimizing Undesirable Element Leachability from Fly Ash,journal-article,Industrial & Engineering Chemistry Research,American Chemical Society (ACS),2012,0888-5885,,https://doi.org/10.1021/ie300387d,"Departmentof Earth and Environmental Sciences, University of Waterloo, Waterloo, ON, Canada N2L 3G1"
Muscular Exposures During Standardized Two-Handed Maximal Pushing and Pulling Tasks,journal-article,IISE Transactions on Occupational Ergonomics and Human Factors,Informa UK Limited,2017,2472-5838,,https://doi.org/10.1080/24725838.2017.1373168,"Department of Kinesiology, Faculty of Applied Health Sciences, University of Waterloo, 200 University Avenue West, Waterloo, Ontario, Canada, N2L 3G1"
The effects of hand force variation on shoulder muscle activation during submaximal exertions,journal-article,International Journal of Occupational Safety and Ergonomics,Informa UK Limited,2016,1080-3548,,https://doi.org/10.1080/10803548.2016.1266805,"Department of Kinesiology, University of Waterloo, Canada"
Fatigue Retrofitting of Welded Steel Cover Plates using Pre-Stressed Carbon Fibre Reinforced Polymer Strips,journal-article,Structural Engineering International,Informa UK Limited,2011,1016-8664,,https://doi.org/10.2749/101686611x13049248220122,"Civil and Environmental Engineering, University of Waterloo, Waterloo, Canada Contact:"
Phase-Induced Shape Evolution of FeNi Nanoalloys and Their Air Stability by in-Situ Surface Passivation,journal-article,The Journal of Physical Chemistry C,American Chemical Society (ACS),2013,1932-7447,,https://doi.org/10.1021/jp312391h,"WATLab and Department ofChemistry, University of Waterloo, Waterloo, Ontario, Canada N2L 3G1"
Interactions between a Series of Pyrene End-Labeled Poly(ethylene oxide)s and Sodium Dodecyl Sulfate in Aqueous Solution Probed by Fluorescence,journal-article,Langmuir,American Chemical Society (ACS),2014,0743-7463,,https://doi.org/10.1021/la502912z,"Institute for Polymer Research,Waterloo Institute for Nanotechnology, †Department of Chemistry and ‡Departmentof Chemical Engineering, University of Waterloo, Waterloo, ON N2L 3G1, Canada"
Interactions between Hydrophobically Modified Alkali-Swellable Emulsion Polymers and Sodium Dodecyl Sulfate Probed by Fluorescence and Rheology,journal-article,The Journal of Physical Chemistry B,American Chemical Society (ACS),2013,1520-6106,,https://doi.org/10.1021/jp410711h,"Institute for Polymer Research,Waterloo Institute for Nanotechnology, Department of Chemistry, University of Waterloo, Waterloo, ON N2L3G1, Canada"
DiPyMe in SDS Micelles: Artifacts and Their Implications in the Interpretation of Micellar Properties,journal-article,Langmuir,American Chemical Society (ACS),2015,0743-7463,,https://doi.org/10.1021/acs.langmuir.5b02770,"Institute for Polymer Research,Waterloo Institute for Nanotechnology, Department of Chemistry, University of Waterloo, 200 University Avenue, Waterloo, Ontario N2L 3G1, Canada"
Neonatal Dietary Zinc Deficiency in Artificially Reared Rat Pups Retards Behavioral Development and Interacts with Essential Fatty Acid Deficiency to Alter Liver and Brain Fatty Acid Composition,journal-article,The Journal of Nutrition,Oxford University Press (OUP),2018,0022-3166,,https://doi.org/10.1093/jn/129.10.1773,"Department of Health Studies and Gerontology, University of Waterloo, Waterloo, ON, Canada N2L 3G1"
Finding Cancer Biomarkers from Mass Spectrometry Data by Decision Lists,journal-article,Journal of Computational Biology,Mary Ann Liebert Inc,2005,1066-5277,,https://doi.org/10.1089/cmb.2005.12.971,"School of Computer Science, University of Waterloo, Waterloo, ON N2L 3G1 Canada. This author is also affiliated with City University of Hong Kong, Hong Kong SAR, and Tsinghua University, Beijing, China."
A Parameterized Algorithm for Protein Structure Alignment,journal-article,Journal of Computational Biology,Mary Ann Liebert Inc,2007,1066-5277,,https://doi.org/10.1089/cmb.2007.r003,"School of Computer Science, University of Waterloo, Ontario, Canada."
Discovering High-Order Patterns of Gene Expression Levels,journal-article,Journal of Computational Biology,Mary Ann Liebert Inc,2008,1066-5277,,https://doi.org/10.1089/cmb.2007.0147,"Department of Systems Design Engineering, University of Waterloo, Waterloo, Ontario, Canada."
Towards Fully Automated Structure-Based NMR Resonance Assignment of 15N-Labeled Proteins From Automatically Picked Peaks,journal-article,Journal of Computational Biology,Mary Ann Liebert Inc,2011,1066-5277,,https://doi.org/10.1089/cmb.2010.0251,"David R. Cheriton School of Computer Science, University of Waterloo, Waterloo, Ontario, Canada."
Finding Nearly Optimal GDT Scores,journal-article,Journal of Computational Biology,Mary Ann Liebert Inc,2011,1066-5277,,https://doi.org/10.1089/cmb.2010.0123,"David R. Cheriton School of Computer Science, University of Waterloo Waterloo, Ontario, Canada."
Determining Protein Structures from NOESY Distance Constraints by Semidefinite Programming,journal-article,Journal of Computational Biology,Mary Ann Liebert Inc,2012,1066-5277,,https://doi.org/10.1089/cmb.2012.0089,"David R. Cheriton School of Computer Science, University of Waterloo, Waterloo, Ontario, Canada."
The Effects of Social Anxiety and Online Privacy Concern on Individual Differences in Internet-Based Interaction Anxiety and Communication Preferences,journal-article,"Cyberpsychology, Behavior, and Social Networking",Mary Ann Liebert Inc,2017,2152-2715,,https://doi.org/10.1089/cyber.2016.0329,"Department of Psychology, Centre for Mental Health Research, University of Waterloo, Waterloo, Canada."
Intervisit Repeatability of Retinal Blood Oximetry and Total Retinal Blood Flow Under Varying Systemic Blood Gas Oxygen Saturations,journal-article,Investigative Opthalmology & Visual Science,Association for Research in Vision and Ophthalmology (ARVO),2016,1552-5783,,https://doi.org/10.1167/iovs.15-17908,"School of Optometry and Vision Science, University of Waterloo, Waterloo, Ontario, Canada"
The Relation of Maternal Directiveness and Child Attachment Security to                 Social Competence in Preschoolers,journal-article,International Journal of Behavioral Development,SAGE Publications,2013,0165-0254,,https://doi.org/10.1177/016502549601900205,"University of Waterloo, Canada"
Relating Preschoolers' Social Competence and their Mothers' Parenting Behaviors to Early Attachment Security and High-Risk Status,journal-article,Journal of Social and Personal Relationships,SAGE Publications,2007,0265-4075,,https://doi.org/10.1177/0265407591083004,University of Waterloo
Laser Scanner-based End-effector Tracking and Joint Variable Extraction for Heavy Machinery,journal-article,The International Journal of Robotics Research,SAGE Publications,2010,0278-3649,,https://doi.org/10.1177/0278364909359316,"University of Waterloo, 200 University Avenue West, Waterloo, Canada N2L 3G1,"
"Glyphosate residues in rural groundwater, Nottawasaga River Watershed, Ontario, Canada",journal-article,Pest Management Science,Wiley,2016,1526-498X,,https://doi.org/10.1002/ps.4218,Earth and Environmental Sciences; University of Waterloo; Waterloo ON Canada
Targeted Mimicry Attacks on Touch Input Based Implicit Authentication Schemes,proceedings-article,"Proceedings of the 14th Annual International Conference on Mobile Systems, Applications, and Services - MobiSys '16",ACM Press,2016,,9781450342698,https://doi.org/10.1145/2906388.2906404,"University of Waterloo, Waterloo, ON, Canada"
Phytolith evidence of mid-Holocene Capsian subsistence economies in North Africa,journal-article,The Holocene,SAGE Publications,2013,0959-6836,,https://doi.org/10.1177/0959683612472001,"University of Waterloo, Canada"
7-Methoxyphthalide,reference-entry,Organic Syntheses,"John Wiley & Sons, Inc.",2003,,0471264229,https://doi.org/10.1002/0471264180.os072.20,University of Waterloo; Guelph-Waterloo Centre for Graduate Work in Chemistry; Waterloo Ontario Canada N2L 3G1
A Demonstration of Haptic Retargeting,proceedings-article,Proceedings of the 2016 ACM on Interactive Surfaces and Spaces - ISS '16,ACM Press,2016,,9781450342483,https://doi.org/10.1145/2992154.2996883,"University of Waterloo, Waterloo, ON, Canada"
Disparagement of health warning labels on cigarette packages and cessation attempts: results from four countries,journal-article,Health Education Research,Oxford University Press (OUP),2017,0268-1153,,https://doi.org/10.1093/her/cyx065,"School of Public Health and Health Systems, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada"
A multi-scale model for simulating liquid-fabric interactions,journal-article,ACM Transactions on Graphics,Association for Computing Machinery (ACM),2018,0730-0301,,https://doi.org/10.1145/3197517.3201392,"University of Waterloo, Canada"
A positive-definite cut-cell method for strong two-way coupling between fluids and deformable bodies,proceedings-article,Proceedings of the ACM SIGGRAPH / Eurographics Symposium on Computer Animation  - SCA '17,ACM Press,2017,,9781450350914,https://doi.org/10.1145/3099564.3099572,University of Waterloo
Recoverable Mutual Exclusion,proceedings-article,Proceedings of the 2016 ACM Symposium on Principles of Distributed Computing - PODC '16,ACM Press,2016,,9781450339643,https://doi.org/10.1145/2933057.2933087,"University of Waterloo, Waterloo, ON, Canada"
Recoverable Mutual Exclusion in Sub-logarithmic Time,proceedings-article,Proceedings of the ACM Symposium on Principles of Distributed Computing  - PODC '17,ACM Press,2017,,9781450349925,https://doi.org/10.1145/3087801.3087819,"University of Waterloo, Waterloo, ON, Canada"
Cross-disciplinary Material in Classroom Learning,proceedings-article,Proceedings of the 36th ACM International Conference on the Design of Communication  - SIGDOC '18,ACM Press,2018,,9781450359351,https://doi.org/10.1145/3233756.3233944,"University of Waterloo, Waterloo, ON, Canada"
Person Theories: Their Temporal Stability and Relation to Intertrait Inferences,journal-article,Personality and Social Psychology Bulletin,SAGE Publications,2008,0146-1672,,https://doi.org/10.1177/0146167208316690,University of Waterloo
TussleOS,journal-article,ACM SIGCOMM Computer Communication Review,Association for Computing Machinery (ACM),2018,0146-4833,,https://doi.org/10.1145/3243157.3243160,University of Waterloo
Tarski's High School Identities,journal-article,The American Mathematical Monthly,Informa UK Limited,2018,0002-9890,,https://doi.org/10.1080/00029890.1993.11990393,"Department of Pure Mathematics University of Waterloo Waterloo, Ontario Canada N2L 3G1"
An Interdisciplinary Memory Clinic,journal-article,Annals of Pharmacotherapy,SAGE Publications,2014,1060-0280,,https://doi.org/10.1177/1060028014526857,"University of Waterloo School of Pharmacy, Kitchener, ON, Canada"
Assessment of Oral Anticoagulant Use in Residents of Long-Term Care Homes: Evidence for Contemporary Suboptimal Use,journal-article,Annals of Pharmacotherapy,SAGE Publications,2017,1060-0280,,https://doi.org/10.1177/1060028017723348,"University of Waterloo, Waterloo, Ontario, Canada"
Symbolic versus Subsymbolic,reference-entry,Encyclopedia of Cognitive Science,"John Wiley & Sons, Ltd",2005,,0470016191,https://doi.org/10.1002/0470018860.s00022,University of Waterloo; Waterloo Ontario Canada
Conceptual Change,reference-entry,Encyclopedia of Cognitive Science,"John Wiley & Sons, Ltd",2005,,0470016191,https://doi.org/10.1002/0470018860.s00500,University of Waterloo; Waterloo Ontario Canada
Over-Time Impacts of Pictorial Health Warning Labels and their Differences across Smoker Subgroups: Results from Adult Smokers in Canada and Australia,journal-article,Nicotine & Tobacco Research,Oxford University Press (OUP),2017,1462-2203,,https://doi.org/10.1093/ntr/ntx134,"School of Public Health & Health Systems, University of Waterloo, Canada"
Using Water Isotope Tracers to Develop the Hydrological Component of a Long-Term Aquatic Ecosystem Monitoring Program for a Northern Lake-Rich Landscape,journal-article,"Arctic, Antarctic, and Alpine Research",Informa UK Limited,2013,1523-0430,,https://doi.org/10.1657/1938-4246-45.4.594,"Department of Biology, University of Waterloo, 200 University Avenue West, Waterloo, Ontario, N2L 3G1, Canada"
Observed and Projected Climate Change in the Churchill Region of the Hudson Bay Lowlands and Implications for Pond Sustainability,journal-article,"Arctic, Antarctic, and Alpine Research",Informa UK Limited,2014,1523-0430,,https://doi.org/10.1657/1938-4246-46.1.272,"Interdisciplinary Centre for Climate Change (IC3) and Department of Geography and Environmental Management, University of Waterloo, Waterloo, Ontario, N2L 3G1, Canada"
"Heritage and identity in contemporary Thailand: memory, place and power",journal-article,Journal of Heritage Tourism,Informa UK Limited,2018,1743-873X,,https://doi.org/10.1080/1743873x.2018.1425200,"University of Waterloo, Canada"
Trends in Civic Association Activity in Four Democracies: The Special Case of Women in the United States,journal-article,American Sociological Review,SAGE Publications,2010,0003-1224,,https://doi.org/10.1177/000312240607100302,University of Waterloo
Seed proton NMR spin-grouping,journal-article,Journal of the American Oil Chemists' Society,Wiley,2007,0003-021X,,https://doi.org/10.1007/bf02542559,"; Waterloo NMR Center, Department of Physics; University of Waterloo; Waterloo Ontario Canada"
Fault-tolerant quantum computing in the Pauli or Clifford frame with slow error diagnostics,journal-article,Quantum,Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften,2018,2521-327X,,https://doi.org/10.22331/q-2018-01-04-43,"Institute for Quantum Computing and Department of Physics and Astronomy, University of Waterloo, Waterloo, Ontario, N2L 3G1, Canada"
Experimental verification of the application of lateral buildup ratio on the 4-MeV electron beam,journal-article,Journal of Applied Clinical Medical Physics,Wiley,2007,1526-9914,,https://doi.org/10.1120/jacmp.v7i1.2153,Department of Physics; University of Waterloo; 200 University Avenue Waterloo Ontario N2L 3G1 Canada
A graphical user interface for an electron monitor unit calculator using a sector-integration algorithm and exponential curve-fitting method,journal-article,Journal of Applied Clinical Medical Physics,Wiley,2007,1526-9914,,https://doi.org/10.1120/jacmp.v7i1.2183,Department of Physics; University of Waterloo; 200 University Avenue Waterloo Ontario N2L 3G1 Canada
WASTE REDUCTION FOR CHEMICAL PLANT OPERATIONS,book-chapter,Environmentally Conscious Materials and Chemicals Processing,"John Wiley & Sons, Inc.",2007,,9780470168219,https://doi.org/10.1002/9780470168219.ch4,Department of Chemical Engineering; University of Waterloo; Waterloo Ontario Canada
Effect of Electrolyte Conductivity on Controlled Electrochemical Synthesis of Zinc Oxide Nanotubes and Nanorods,journal-article,The Journal of Physical Chemistry C,American Chemical Society (ACS),2013,1932-7447,,https://doi.org/10.1021/jp312321t,"WATLab and Department of Chemistry, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada"
Partial oligomerization of pyolysin induced by a disulfide-tethered mutant,journal-article,Biochemistry and Cell Biology,Canadian Science Publishing,2012,0829-8211,,https://doi.org/10.1139/o2012-029,"Department of Chemistry, University of Waterloo, 200 University Ave. W, Waterloo, ON N2L 3G1, Canada."
Thermal habitat segregation among morphotypes of whitefish (Coregonus lavaretus: Salmonidae) and invasive vendace (C. albula): a mechanism for co-existence?,journal-article,Freshwater Biology,Wiley,2015,0046-5070,,https://doi.org/10.1111/fwb.12660,Department of Biology; University of Waterloo; Waterloo ON Canada
Latitudinal variation in growth and otolith-inferred field metabolic rates of Canadian young-of-the-year Arctic charr,journal-article,Ecology of Freshwater Fish,Wiley,2014,0906-6691,,https://doi.org/10.1111/eff.12166,Department of Biology; University of Waterloo; Waterloo ON Canada
Intergenerational dialogue: Connecting youth and older adults in urban spaces through community-based forum theatre,journal-article,Applied Theatre Research,Intellect,2018,2049-3010,,https://doi.org/10.1386/atr.6.1.37_1,"University of Waterloo, Canada"
"Subglacial landforms in northern Manitoba, Canada, based on remote sensing data",journal-article,Journal of Maps,Informa UK Limited,2010,1744-5647,,https://doi.org/10.4113/jom.2010.1142,"a   Department of Earth and Environmental Sciences , University of Waterloo ,  Waterloo ,  Ontario ,  Canada ,  N2L 3G1  E-mail:"
"Growth and eicosapentaenoic acid production byPhaeodactylum tricornutum
 in batch and continuous culture systems",journal-article,Journal of the American Oil Chemists' Society,Wiley,2007,0003-021X,,https://doi.org/10.1007/bf02636113,; Department of Biology; University of Waterloo; Waterloo Ontario N2L 3G1 Canada
Preschool Children’s Narratives and Performance on the Peabody Individualized Achievement Test – Revised: Evidence of a Relation between Early Narrative and Later Mathematical Ability,journal-article,First Language,SAGE Publications,2004,0142-7237,,https://doi.org/10.1177/0142723704043529,University of Waterloo
"Temperature response of aqueous solutions of pyrene end-labeled poly(N
-isopropylacrylamide)s probed by steady-state and time-resolved fluorescence",journal-article,Journal of Polymer Science Part B: Polymer Physics,Wiley,2017,0887-6266,,https://doi.org/10.1002/polb.24543,"Department of Chemistry, Institute for Polymer Research, Waterloo Institute for Nanotechnology, University of Waterloo; Ontario N2L 3G1 Canada"
Combined heat and mass transfer of third-grade nanofluids over a convectively-heated stretching permeable surface,journal-article,The Canadian Journal of Chemical Engineering,Wiley,2015,0008-4034,,https://doi.org/10.1002/cjce.22283,Department of Mechanical and Mechatronics Engineering; University of Waterloo; Waterloo N2L 3G1 ON Canada
"The Truth, The Whole Truth, and Nothing But the Truth",journal-article,ACM Transactions on Programming Languages and Systems,Association for Computing Machinery (ACM),2016,0164-0925,,https://doi.org/10.1145/2983574,"University of Waterloo, Waterloo, Ontario, Canada"
Stylized stereoscopic 3D line drawings from 3D images,proceedings-article,Proceedings of the Joint Symposium on Computational Aesthetics and Sketch-Based Interfaces and Modeling and Non-Photorealistic Animation and Rendering  - Expressive '18,ACM Press,2018,,9781450358927,https://doi.org/10.1145/3229147.3229189,"University of Waterloo, Waterloo, Ontario, Canada"
"Current Therapeutic Uses, Pharmacology, and Clinical Considerations of Neuromuscular Blocking Agents for Critically III Adults",journal-article,Annals of Pharmacotherapy,SAGE Publications,2011,1060-0280,,https://doi.org/10.1345/aph.1q004,"University of Waterloo, Waterloo, Ontario, Canada"
